134688	0.0	0.0	0.0	0.0
134699	0.0	0.0	0.0	0.0
134708	0.0	0.0	0.0	0.0
134718	0.0	0.0	0.0	0.0
134728	0.0	0.0	0.0	0.0
134738	0.0	0.0	0.0	0.0
134749	0.0	0.0	0.0	0.0
134758	0.0	0.0	0.0	0.0
134768	0.0	0.0	0.0	0.0
134778	0.0	0.0	0.0	0.0
134789	0.0	0.0	0.0	0.0
134798	0.0	0.0	0.0	0.0
134808	0.0	0.0	0.0	0.0
134818	0.0	0.0	0.0	0.0
134829	0.0	0.0	0.0	0.0
134839	0.0	0.0	0.0	0.0
134848	0.0	0.0	0.0	0.0
134858	0.0	0.0	0.0	0.0
134868	0.0	0.0	0.0	0.0
134879	0.0	0.0	0.0	0.0
134889	0.0	0.0	0.0	0.0
134898	0.0	0.0	0.0	0.0
134908	0.0	0.0	0.0	0.0
134919	0.0	0.0	0.0	0.0
134929	0.0	0.0	0.0	0.0
134938	0.0	0.0	0.0	0.0
134948	0.0	0.0	0.0	0.0
134959	0.0	0.0	0.0	0.0
134969	0.0	0.0	0.0	0.0
134979	0.0	0.0	0.0	0.0
134988	0.0	0.0	0.0	0.0
134999	0.0	0.0	0.0	0.0
135010	0.0	0.0	51.0	-1.0
135020	0.0	0.0	52.0	-1.0
135029	0.0	0.0	53.0	-1.0
135040	0.0	0.0	54.0	-1.0
135050	0.0	0.0	54.0	-1.0
135060	0.0	30.0	55.0	-1.0
135070	0.0	30.0	56.0	-1.0
135079	0.0	30.0	57.0	-1.0
135090	0.0	30.0	58.0	-1.0
135100	0.0	30.0	59.0	-1.0
135110	0.0	90.0	59.0	-1.0
135119	0.0	90.0	60.0	-1.0
135130	0.0	90.0	61.0	-1.0
135140	0.0	90.0	62.0	-1.0
135150	0.0	120.0	63.0	-1.0
135160	0.0	120.0	64.0	-1.0
135170	0.0	150.0	64.0	-1.0
135180	0.0	150.0	65.0	-1.0
135190	0.0	150.0	66.0	-1.0
135200	0.0	180.0	67.0	-1.0
135209	0.0	180.0	68.0	-1.0
135220	0.0	180.0	69.0	-1.0
135230	0.0	210.0	69.0	-1.0
135240	0.0	210.0	70.0	-1.0
135250	0.0	210.0	71.0	-1.0
135260	0.0	240.0	72.0	-1.0
135270	30.0	240.0	70.0	6.0
135280	30.0	240.0	71.0	5.0
135290	30.0	240.0	72.0	3.0
135300	30.0	240.0	73.0	2.0
135310	30.0	240.0	74.0	2.0
135320	30.0	270.0	75.0	1.0
135330	30.0	270.0	76.0	0.0
135341	30.0	270.0	77.0	0.0
135350	60.0	270.0	75.0	9.0
135360	60.0	270.0	76.0	7.0
135370	60.0	270.0	78.0	5.0
